"data","test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"10","SET","51894.13","0.512","0.112","0.487","0.759","1.015","8.391"
"10","GET","53022.27","0.504","0.144","0.471","0.695","1.319","4.471"
"20","SET","52687.04","0.507","0.224","0.479","0.695","1.103","6.799"
"20","GET","53676.86","0.485","0.152","0.471","0.679","0.863","2.575"
"50","SET","52966.10","0.499","0.144","0.479","0.711","1.039","8.071"
"50","GET","52910.05","0.500","0.184","0.479","0.671","1.015","5.439"
"100","SET","53763.44","0.484","0.104","0.463","0.671","0.935","3.575"
"100","GET","51867.22","0.520","0.128","0.487","0.687","1.943","6.183"
"200","SET","53676.86","0.488","0.120","0.471","0.663","1.159","3.839"
"200","GET","53248.14","0.488","0.136","0.479","0.679","0.839","1.759"
"500",SET","51203.28","0.520","0.160","0.487","0.703","1.559","4.303"
"500","GET","52994.17","0.492","0.160","0.487","0.671","0.799","2.319"
"1000","SET","46104.20","0.578","0.160","0.543","0.847","1.503","5.455"
"1000","GET","44863.16","0.580","0.256","0.567","0.831","1.039","5.463"
